id,name,description,address,type,imageurl,imageurl2,imageurl3,place,rating
18," Zerua","A chic, multi-cuisine dining destination offering European and Indian options.","Worli, Mumbai 400013.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/e/p107831-1670653662639426deb0f0b.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/e/p107831-1670653662639426deb0f0b.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/v/p157419-170724015765c26add76ff0.png?tr=tr:n-xlarge,worli,4.10
16,Aer," A luxurious rooftop bar offering panoramic city views and innovative cocktails.","34th Floor, Four Seasons Hotel, Worli, Mumbai 400018.",bar,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/m/p6199-144102309955e4447b42b87.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/h/m/p6199-144102309955e4447b42b87.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/b/o/p6199-15158690105a5a53522dccf.jpg?tr=tr:n-xlarge,worli,4.50
35,"Allamanda terrace","A rooftop restaurant offering Continental and Indian dishes with scenic views.","Churchgate, Mumbai 400020.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/z/j/p88497-1611314864600ab6b0a1cae.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/r/s/p88497-16455419576214fa45636d5.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/u/o/p88497-1648217773623dceada3a37.jpg?tr=tr:n-xlarge,churchgate,4.10
1,Bademiya,"Established in 1946, Bademiya began as a humble seekh kebab counter and has evolved into an iconic food stall and restaurant chain in Mumbai.","Colaba, Mumbai,400039, India.",restaurant,https://media-cdn.tripadvisor.com/media/photo-s/05/90/fe/a2/bade-miya.jpg,https://1.bp.blogspot.com/-S6iMBEt-wZU/XQKJlq8OFCI/AAAAAAAAABE/h9Ui8ynLGXURYAHBcoi8BJ9RXKU-GRS7ACLcBGAs/s1600/Bademiya-Mumbai.jpg,https://im.whatshot.in/img/2021/Jan/157514-d-1611778613.jpg,colaba,3.00
30,"Banana leaf","Specializing in South Indian vegetarian delicacies, offering a variety of dosas and thalis.","Kandivali West, Mumbai 400067.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/q/h/p210616-172416142766c49d935de23.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/k/p210616-172416141266c49d84ba812.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/f/x/p210616-172416142066c49d8c2b84b.jpg?tr=tr:n-xlarge,kandivali,4.20
21,"Banjara dhaba","A casual dining spot offering authentic Punjabi and North Indian food in a dhaba-style setting.","Western Express Highway, Borivali East, Mumbai 400066.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/k/p154049-170679159165bb92a76e274.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/z/l/p21099-145612222056caa96cc6270.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/m/d/p21099-145612176456caa7a45fb01.jpg?tr=tr:n-xlarge,borivali,4.10
20,"Bo reverie","A quaint caf̩ serving Continental and Mediterranean cuisine with a focus on healthy options.","Borivali West, Mumbai 400092.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/k/p154049-170679159165bb92a76e274.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/k/p154049-170679159165bb92a76e274.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/y/k/p154049-170679159165bb92a76e274.jpg?tr=tr:n-xlarge,borivali,4.20
19,Bustle,"A vibrant caf̩ and co-working space offering a mix of Continental and comfort food.","LT Road, Borivali West, Mumbai 400092.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/o/p119198-1680600521642bedc91a394.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/o/p119198-1680600521642bedc91a394.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/n/p119198-1680600720642bee90619f8.jpg?tr=tr:n-xlarge,borivali,4.10
2,"Colaba social","A trendy cafe and bar that has become a favorite hangout spot for Mumbai's young crowd. It offers a unique blend of food, drinks, and a vibrant social scene.","Colaba, Mumbai,400001, India.",bar,https://tse3.mm.bing.net/th?id=OIP.Oe5RJDgZKzzO0f_t7FPctwHaE2&pid=Api&P=0&h=180,https://im.whatshot.in/img/2017/Oct/leopold-2-inline-1507974606.jpg,https://tse4.mm.bing.net/th?id=OIP.6fgNwaXp_aRSfUtpdl3GygAAAA&pid=Api&P=0&h=180,colaba,4.30
37,Dome,"A luxurious rooftop bar offering a variety of drinks and snacks with a view of Marine Drive.","Intercontinental Hotel, Churchgate, Mumbai 400020.",bar,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/n/f/p161726-170780938765cb1a6bb0fd9.PNG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/r/p161726-170780940165cb1a797f9f6.PNG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/o/p161726-170780940865cb1a809a76c.PNG?tr=tr:n-xlarge,churchgate,4.50
